Experiment,Seed,Particles,Phi1,Phi2,Inertia,Constriction,Topology,Model,Best_Fitness,Position,Runtime
Full_Star,1,30,2.0,2.0,False,False,star,full,-959.640662,512.000000;404.232573,0.156
Full_Star,2,30,2.0,2.0,False,False,star,full,-894.150933,-463.938084;384.920258,0.142
Full_Star,3,30,2.0,2.0,False,False,star,full,-959.640663,512.000000;404.231678,0.143
Full_Star,4,30,2.0,2.0,False,False,star,full,-959.640445,512.000000;404.217955,0.142
Full_Star,5,30,2.0,2.0,False,False,star,full,-894.465663,-465.298445;386.165520,0.143
Cognition,1,30,2.0,0.0,False,False,star,cognition,-959.625708,512.000000;404.117067,0.139
Cognition,2,30,2.0,0.0,False,False,star,cognition,-959.379812,512.000000;404.710072,0.139
Cognition,3,30,2.0,0.0,False,False,star,cognition,-959.639259,512.000000;404.266939,0.140
Cognition,4,30,2.0,0.0,False,False,star,cognition,-959.640427,512.000000;404.246200,0.140
Cognition,5,30,2.0,0.0,False,False,star,cognition,-959.596042,512.000000;404.429792,0.140
Social,1,30,0.0,2.0,False,False,star,social,-858.601177,356.357009;512.000000,0.139
Social,2,30,0.0,2.0,False,False,star,social,-786.518214,-456.655889;-382.453732,0.140
Social,3,30,0.0,2.0,False,False,star,social,-858.600934,356.309595;512.000000,0.138
Social,4,30,0.0,2.0,False,False,star,social,-858.601215,356.344963;512.000000,0.138
Social,5,30,0.0,2.0,False,False,star,social,-648.402699,-512.000000;397.546683,0.138
Selfless,1,30,0.0,2.0,False,False,star,selfless,-858.601177,356.357009;512.000000,0.146
Selfless,2,30,0.0,2.0,False,False,star,selfless,-786.324003,-457.920276;-383.734684,0.148
Selfless,3,30,0.0,2.0,False,False,star,selfless,-858.600950,356.310573;512.000000,0.144
Selfless,4,30,0.0,2.0,False,False,star,selfless,-858.601215,356.344180;512.000000,0.143
Selfless,5,30,0.0,2.0,False,False,star,selfless,-648.402699,-512.000000;397.546683,0.143
Ring_Full,1,30,2.0,2.0,False,False,ring,full,-959.639326,512.000000;404.266089,0.114
Ring_Full,2,30,2.0,2.0,False,False,ring,full,-959.639587,512.000000;404.201040,0.113
Ring_Full,3,30,2.0,2.0,False,False,ring,full,-959.640237,512.000000;404.212457,0.115
Ring_Full,4,30,2.0,2.0,False,False,ring,full,-959.639221,512.000000;404.267410,0.114
Ring_Full,5,30,2.0,2.0,False,False,ring,full,-959.523303,512.000000;403.910155,0.115
Inertia,1,30,2.0,2.0,True,False,star,full,-959.640663,512.000000;404.231805,0.138
Inertia,2,30,2.0,2.0,True,False,star,full,-894.578900,-465.694152;385.716700,0.137
Inertia,3,30,2.0,2.0,True,False,star,full,-959.640663,512.000000;404.231805,0.138
Inertia,4,30,2.0,2.0,True,False,star,full,-959.640663,512.000000;404.231805,0.142
Inertia,5,30,2.0,2.0,True,False,star,full,-894.578900,-465.694151;385.716700,0.137
Constriction,1,30,2.05,2.05,False,True,star,full,-959.640663,512.000000;404.231805,0.143
Constriction,2,30,2.05,2.05,False,True,star,full,-786.525994,-456.885807;-382.623373,0.142
Constriction,3,30,2.05,2.05,False,True,star,full,-959.640663,512.000000;404.231805,0.141
Constriction,4,30,2.05,2.05,False,True,star,full,-888.949125,347.326973;499.415399,0.147
Constriction,5,30,2.05,2.05,False,True,star,full,-894.578900,-465.694152;385.716700,0.142
Inertia_Constr,1,30,2.05,2.05,True,True,star,full,-959.640663,512.000000;404.231805,0.142
Inertia_Constr,2,30,2.05,2.05,True,True,star,full,-753.050155,-390.373919;-415.090153,0.142
Inertia_Constr,3,30,2.05,2.05,True,True,star,full,-959.640663,512.000000;404.231805,0.143
Inertia_Constr,4,30,2.05,2.05,True,True,star,full,-959.640663,512.000000;404.231805,0.141
Inertia_Constr,5,30,2.05,2.05,True,True,star,full,-821.196461,-313.971999;512.000000,0.141
More_Particles,1,60,2.05,2.05,True,True,star,full,-959.640663,512.000000;404.231805,0.346
More_Particles,2,60,2.05,2.05,True,True,star,full,-786.525994,-456.885807;-382.623374,0.345
More_Particles,3,60,2.05,2.05,True,True,star,full,-894.578900,-465.694151;385.716700,0.344
More_Particles,4,60,2.05,2.05,True,True,star,full,-959.640663,512.000000;404.231805,0.345
More_Particles,5,60,2.05,2.05,True,True,star,full,-959.640663,512.000000;404.231805,0.346
Fewer_Particles,1,15,2.05,2.05,True,True,star,full,-888.949125,347.326973;499.415399,0.063
Fewer_Particles,2,15,2.05,2.05,True,True,star,full,-894.578900,-465.694151;385.716700,0.063
Fewer_Particles,3,15,2.05,2.05,True,True,star,full,-565.997781,-105.876889;423.153236,0.063
Fewer_Particles,4,15,2.05,2.05,True,True,star,full,-956.918232,482.353310;432.878999,0.063
Fewer_Particles,5,15,2.05,2.05,True,True,star,full,-718.167460,283.075910;-487.125658,0.063
