Experiment,Seed,Particles,Phi1,Phi2,Inertia,Constriction,Topology,Model,Best_Fitness,Position,Runtime
Full_Star,1,50,2.0,2.0,False,False,star,full,229.803209,419.935659;-512.000000;-511.985832;421.408729,0.329
Full_Star,2,50,2.0,2.0,False,False,star,full,118.437337,419.502388;420.412498;-512.000000;426.137846,0.331
Full_Star,3,50,2.0,2.0,False,False,star,full,229.599733,421.370589;420.210387;-512.000000;-512.000000,0.329
Full_Star,4,50,2.0,2.0,False,False,star,full,229.685445,-512.000000;421.613780;-511.996012;421.801163,0.329
Full_Star,5,50,2.0,2.0,False,False,star,full,229.891553,-512.000000;419.422274;-512.000000;421.780558,0.329
Cognition,1,50,2.0,0.0,False,False,star,cognition,130.732817,425.762425;419.879229;421.666545;-293.968636,0.323
Cognition,2,50,2.0,0.0,False,False,star,cognition,109.688316,438.470470;407.949633;430.019672;438.838873,0.324
Cognition,3,50,2.0,0.0,False,False,star,cognition,117.747823,423.088955;421.799445;-512.000000;416.657049,0.325
Cognition,4,50,2.0,0.0,False,False,star,cognition,72.930502,431.935269;409.244190;426.860299;437.985294,0.325
Cognition,5,50,2.0,0.0,False,False,star,cognition,36.642398,421.084404;409.658755;425.711968;409.009693,0.328
Social,1,50,0.0,2.0,False,False,star,social,229.551124,420.817080;420.395789;-512.000000;-512.000000,0.324
Social,2,50,0.0,2.0,False,False,star,social,11.489521,418.761098;419.084765;427.421661;427.369218,0.325
Social,3,50,0.0,2.0,False,False,star,social,229.507083,420.934009;420.937553;-512.000000;-512.000000,0.324
Social,4,50,0.0,2.0,False,False,star,social,229.601822,-512.000000;420.402264;-512.000000;420.311273,0.327
Social,5,50,0.0,2.0,False,False,star,social,229.705898,-512.000000;419.741159;-512.000000;420.701090,0.328
Selfless,1,50,0.0,2.0,False,False,star,selfless,229.553850,421.124996;420.378432;-512.000000;-512.000000,0.347
Selfless,2,50,0.0,2.0,False,False,star,selfless,114.945472,421.070532;-512.000000;422.184735;421.149191,0.346
Selfless,3,50,0.0,2.0,False,False,star,selfless,229.507083,420.934009;420.937553;-512.000000;-512.000000,0.342
Selfless,4,50,0.0,2.0,False,False,star,selfless,229.548697,-512.000000;421.468898;-512.000000;421.254683,0.341
Selfless,5,50,0.0,2.0,False,False,star,selfless,229.703275,-512.000000;420.324917;-512.000000;422.037475,0.343
Ring_Full,1,50,2.0,2.0,False,False,ring,full,122.076832,428.248405;421.064590;-512.000000;418.725298,0.249
Ring_Full,2,50,2.0,2.0,False,False,ring,full,68.156136,413.664896;407.308114;403.707137;417.544885,0.250
Ring_Full,3,50,2.0,2.0,False,False,ring,full,41.378178,433.563173;409.226825;419.441990;415.375669,0.247
Ring_Full,4,50,2.0,2.0,False,False,ring,full,71.099192,404.926069;405.962761;422.109053;430.374580,0.249
Ring_Full,5,50,2.0,2.0,False,False,ring,full,93.871301,408.341373;436.071280;419.112813;401.845515,0.256
Inertia,1,50,2.0,2.0,True,False,star,full,229.506808,420.968746;420.968746;-512.000000;-512.000000,0.317
Inertia,2,50,2.0,2.0,True,False,star,full,-0.000001,420.968747;420.968747;420.968746;420.968746,0.319
Inertia,3,50,2.0,2.0,True,False,star,full,229.506808,420.968746;420.968746;-512.000000;-512.000000,0.317
Inertia,4,50,2.0,2.0,True,False,star,full,114.753404,420.968747;420.968746;-512.000000;420.968746,0.318
Inertia,5,50,2.0,2.0,True,False,star,full,229.506808,-512.000000;420.968747;-512.000000;420.968746,0.316
Constriction,1,50,2.05,2.05,False,True,star,full,114.753404,420.968746;420.968747;-512.000000;420.968746,0.326
Constriction,2,50,2.05,2.05,False,True,star,full,114.753404,420.968746;-512.000000;420.968746;420.968746,0.328
Constriction,3,50,2.05,2.05,False,True,star,full,229.506808,420.968746;420.968746;-512.000000;-512.000000,0.326
Constriction,4,50,2.05,2.05,False,True,star,full,233.191738,-512.000000;420.968746;-302.524935;420.968746,0.329
Constriction,5,50,2.05,2.05,False,True,star,full,229.506808,-512.000000;420.968747;-512.000000;420.968747,0.326
Inertia_Constr,1,50,2.05,2.05,True,True,star,full,229.506808,420.968747;420.968746;-512.000000;-512.000000,0.325
Inertia_Constr,2,50,2.05,2.05,True,True,star,full,-0.000001,420.968747;420.968746;420.968746;420.968747,0.327
Inertia_Constr,3,50,2.05,2.05,True,True,star,full,233.191738,420.968747;420.968746;-512.000000;-302.524936,0.328
Inertia_Constr,4,50,2.05,2.05,True,True,star,full,233.191738,-512.000000;420.968746;-302.524935;420.968746,0.326
Inertia_Constr,5,50,2.05,2.05,True,True,star,full,229.506808,-512.000000;420.968747;-512.000000;420.968747,0.327
More_Particles,1,100,2.05,2.05,True,True,star,full,-0.000001,420.968747;420.968747;420.968746;420.968747,0.835
More_Particles,2,100,2.05,2.05,True,True,star,full,-0.000001,420.968747;420.968746;420.968747;420.968747,0.834
More_Particles,3,100,2.05,2.05,True,True,star,full,229.506808,420.968746;-512.000000;-512.000000;420.968746,0.837
More_Particles,4,100,2.05,2.05,True,True,star,full,-0.000001,420.968746;420.968747;420.968746;420.968746,0.831
More_Particles,5,100,2.05,2.05,True,True,star,full,229.506808,-512.000000;420.968746;-512.000000;420.968746,0.835
Fewer_Particles,1,25,2.05,2.05,True,True,star,full,229.506808,-512.000000;420.968746;-512.000000;420.968747,0.143
Fewer_Particles,2,25,2.05,2.05,True,True,star,full,344.260213,-512.000000;420.968746;-512.000000;-512.000000,0.141
Fewer_Particles,3,25,2.05,2.05,True,True,star,full,233.191738,420.968746;420.968747;-512.000000;-302.524935,0.141
Fewer_Particles,4,25,2.05,2.05,True,True,star,full,229.506808,420.968747;-512.000000;420.968746;-512.000000,0.141
Fewer_Particles,5,25,2.05,2.05,True,True,star,full,233.191738,-512.000000;420.968746;-302.524936;420.968746,0.142
